num_cores,n_tasks,target_utilization,scheduling_type,scheduling_policy,preemption_mode,allocation_policy,avg_response_time_sim,schedulability_ratio_sim,deadline_misses,total_jobs,avg_response_time_cf,schedulability_ratio_cf,avg_sched_delay,energy_estimate,analysis_overhead
8,5,0.25,Global,FIFO,Preemptive,,26.751027135112093,1.0,0,17,34.078419110774504,1.0,0.0,365.38176668224935,0.0002224445343017578
8,5,0.25,Partitioned,FIFO,Preemptive,First-Fit Decreasing,40.03205708962805,0.9411764705882353,1,17,34.078419110774504,1.0,9.740128991161825,365.38176668224935,0.00021910667419433594
8,5,0.25,Global,FIFO,Non-Preemptive,,26.751027135112093,1.0,0,17,34.078419110774504,1.0,0.0,365.38176668224935,0.00021314620971679688
8,5,0.25,Partitioned,FIFO,Non-Preemptive,First-Fit Decreasing,40.03205708962805,0.9411764705882353,1,17,34.078419110774504,1.0,9.740128991161825,365.38176668224935,0.00021386146545410156
8,5,0.25,Global,HEFT,Preemptive,,0.0,0.0,0,0,34.078419110774504,1.0,0.0,347.11267834813685,0.07969307899475098
8,5,0.25,Partitioned,HEFT,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,34.078419110774504,1.0,0.0,347.11267834813685,0.0733330249786377
8,5,0.25,Global,HEFT,Non-Preemptive,,26.751027135112093,1.0,0,17,34.078419110774504,1.0,0.0,347.11267834813685,0.00024366378784179688
8,5,0.25,Partitioned,HEFT,Non-Preemptive,First-Fit Decreasing,43.76613674862375,0.9411764705882353,1,17,34.078419110774504,1.0,13.474208650157529,347.11267834813685,0.00022864341735839844
8,5,0.25,Global,LDF,Preemptive,,0.0,0.0,0,0,34.078419110774504,1.0,0.0,383.65085501636185,0.07536721229553223
8,5,0.25,Partitioned,LDF,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,34.078419110774504,1.0,0.0,383.65085501636185,0.08264923095703125
8,5,0.25,Global,LDF,Non-Preemptive,,26.935213599377455,1.0,0,17,34.078419110774504,1.0,0.0,383.65085501636185,0.00025153160095214844
8,5,0.25,Partitioned,LDF,Non-Preemptive,First-Fit Decreasing,43.780203596348436,0.9411764705882353,1,17,34.078419110774504,1.0,13.488275497882213,383.65085501636185,0.0002353191375732422
8,5,0.5,Global,FIFO,Preemptive,,98.0133579272122,1.0,0,7,96.5476421814964,1.0,12.193231543659849,1059.871594800322,0.00013947486877441406
